level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,961.3835053158834,0.0,0.0,0.0,0.1390602433083212,4.322650075283739,0.0,0.0,0.0,0.0333,0,5179.763257158553
1,12_24,0.0,399.752211536691,0.0,0.0,0.0,0.2804558984117349,9.648272809531395,0.0,0.0,0.0,0.05,0,5179.763257158553
2,13_16,0.04159199635479861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.04159199635479861,10.0,0,5179.763257158553
3,13_23,0.7388950316956031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.7388950316956031,10.0,0,5179.763257158553
4,13_24,0.01799742711661052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01799742711661052,10.0,0,5179.763257158553
5,14_12,0.0192825078955375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.3835053158834,0.0192825078955375,10.0,0,5179.763257158553
6,14_16,0.5678985712422825,0.0,-3.1,-0.2703695713726847,-1.022022840417905,0.0,0.0,0.0,2038.616494684117,0.5678985712422825,10.0,0,5179.763257158553
7,14_23,0.7365927330686749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.7365927330686749,10.0,0,5179.763257158553
8,16_24,0.5670325925285604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.5670325925285604,10.0,0,5179.763257158553
9,1_24,0.05788738849332298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05788738849332298,10.0,0,5179.763257158553
10,23_12,0.2148127781641516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.752211536691,0.2148127781641516,10.0,0,5179.763257158553
11,23_13,0.7388950316956031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.7388950316956031,10.0,0,5179.763257158553
12,23_14,0.7365927330686749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.7365927330686749,10.0,0,5179.763257158553
13,23_24,0.7357267543549528,0.0,-3.1,-0.3207180263064858,-2.193235164879043,0.0,0.0,0.0,2600.247788463309,0.7357267543549528,10.0,0,5179.763257158553
14,23_9,0.2264820118714219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.2264820118714219,10.0,0,5179.763257158553
15,24_16,0.5670325925285604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.5670325925285604,10.0,0,5179.763257158553
16,24_23,0.7357267543549528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.7357267543549528,10.0,0,5179.763257158553
17,3_13,0.02674217254696742,283.7441141642557,-1.033987316704293,-0.1080226517640902,0.0,0.1399412539384066,4.359974702613858,0.0,716.2558858357443,0.02674217254696742,0.0667,0,5179.763257158553
18,3_16,0.058815251414862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.058815251414862,10.0,0,5179.763257158553
19,3_23,0.7561182867556665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.7561182867556665,10.0,0,5179.763257158553
20,3_24,0.03522068217667391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03522068217667391,10.0,0,5179.763257158553
21,8_24,0.04188736633060595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.04188736633060595,10.0,0,5179.763257158553
22,9_13,0.02768997622239739,284.2078035724391,-1.031991220804629,-0.1083069928667192,0.0,0.1401699433595432,4.37470118898383,0.0,715.7921964275608,0.02768997622239739,0.05,0,5179.763257158553
0,12_16,0.0,1546.109218644996,0.0,0.0,0.0,0.1729743346814098,13.71526803618944,0.5507149577942155,0.0,0.0,0.0333,1000,3740.7217998710603
1,12_24,0.0,479.1057613845245,0.0,0.0,0.0,0.3195926935585806,16.02946904222965,0.3100242210600442,0.0,0.0,0.05,1000,3740.7217998710603
2,13_16,0.0391467881205491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.0391467881205491,10.0,1000,3740.7217998710603
3,13_23,0.5716438900551348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.5716438900551348,10.0,1000,3740.7217998710603
4,13_24,0.01806252193612463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01806252193612463,10.0,1000,3740.7217998710603
5,14_12,0.02022798302560467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.109218644996,0.02022798302560467,10.0,1000,3740.7217998710603
6,14_16,0.3964261549978603,0.0,-3.1,-0.2189278464993581,-0.1574295135789144,0.0,0.0,0.0,1453.890781355004,0.3964261549978603,10.0,1000,3740.7217998710603
7,14_23,0.5690714561625287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.5690714561625287,10.0,1000,3740.7217998710603
8,16_24,0.3953551358379744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.3953551358379744,10.0,1000,3740.7217998710603
9,1_24,0.05826526266117564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05826526266117564,10.0,1000,3740.7217998710603
10,23_12,0.213990770693348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.1057613845245,0.213990770693348,10.0,1000,3740.7217998710603
11,23_13,0.5716438900551348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.5716438900551348,10.0,1000,3740.7217998710603
12,23_14,0.5690714561625287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.5690714561625287,10.0,1000,3740.7217998710603
13,23_24,0.5680004370026429,0.0,-3.1,-0.2704001311007929,-1.930847742421288,0.0,0.0,0.0,2520.894238615475,0.5680004370026429,10.0,1000,3740.7217998710603
14,23_9,0.2256575583663184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.2256575583663184,10.0,1000,3740.7217998710603
15,24_16,0.3953551358379744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.3953551358379744,10.0,1000,3740.7217998710603
16,24_23,0.5680004370026429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.5680004370026429,10.0,1000,3740.7217998710603
