level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
0,12_16,0.0,31.04306712901664,0.0,0.0,0.0,0.08510049789348297,0.05547187607771065,0.0,0.0,0.0,0.0333,0,180.6069207122539
1,12_24,0.0,106.3597742579321,0.0,0.0,0.0,0.1357561371857908,0.8763863571242083,0.0,0.0,0.0,0.05,0,180.6069207122539
2,13_16,0.03543134782874815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543134782874815,10.0,0,180.6069207122539
3,13_23,0.05728357070393548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05728357070393548,10.0,0,180.6069207122539
4,13_24,0.01420602289594182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420602289594182,10.0,0,180.6069207122539
5,14_12,0.01245200162035683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.04306712901664,0.01245200162035683,10.0,0,180.6069207122539
6,14_16,0.04411149253125293,0.0,-3.1,-0.1132334477593759,-0.1503501250698153,0.0,0.0,0.0,32.21693287101188,0.04411149253125293,10.0,0,180.6069207122539
7,14_23,0.0499331777129433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.0499331777129433,10.0,0,180.6069207122539
8,16_24,0.04730521340360866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04730521340360866,10.0,0,180.6069207122539
9,1_24,0.05338637654217762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338637654217762,10.0,0,180.6069207122539
10,23_12,0.04419273241284027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3597742579321,0.04419273241284027,10.0,0,180.6069207122539
11,23_13,0.05728357070393548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05728357070393548,10.0,0,180.6069207122539
12,23_14,0.0499331777129433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0499331777129433,10.0,0,180.6069207122539
13,23_24,0.05312689858529897,0.0,-3.1,-0.1159380695755897,-0.344261932304431,0.0,0.0,0.0,133.6402257420679,0.05312689858529897,10.0,0,180.6069207122539
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,0,180.6069207122539
15,24_16,0.04730521340360866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04730521340360866,10.0,0,180.6069207122539
16,24_23,0.05312689858529897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05312689858529897,10.0,0,180.6069207122539
17,3_13,0.02357098471190733,24.83582798407426,-0.1553456351478423,-0.1070712954135722,0.0,0.01224891279569579,0.158304806545668,0.0,26.06417201592574,0.02357098471190733,0.0667,0,180.6069207122539
18,3_16,0.05194499515833487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194499515833487,10.0,0,180.6069207122539
19,3_23,0.07379721803352222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07379721803352222,10.0,0,180.6069207122539
20,3_24,0.03071967022552855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03071967022552855,10.0,0,180.6069207122539
21,8_24,0.0373863543794606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.0373863543794606,10.0,0,180.6069207122539
22,9_13,0.02454752823857109,33.99867742282574,-0.1645982942263954,-0.1073642584715713,0.0,0.01676798676445281,0.222839490985298,0.0,36.00132257717426,0.02454752823857109,0.05,0,180.6069207122539
0,12_16,0.0,31.54133484364371,0.0,0.0,0.0,0.08512939742093134,0.05638689431889499,0.3170429942761405,0.0,0.0,0.0333,10,180.58613949917074
1,12_24,0.0,106.359652026967,0.0,0.0,0.0,0.1357560769020574,0.8763850000092237,0.0,0.0,0.0,0.05,10,180.58613949917074
2,13_16,0.03543118219187717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543118219187717,10.0,10,180.58613949917074
3,13_23,0.05727559197654045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05727559197654045,10.0,10,180.58613949917074
4,13_24,0.01420583286302207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420583286302207,10.0,10,180.58613949917074
5,14_12,0.01245200131526119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.54133484364371,0.01245200131526119,10.0,10,180.58613949917074
6,14_16,0.04410362714478234,0.0,-3.1,-0.1132310881434347,-0.1188374990570362,0.0,0.0,0.0,31.71866515635238,0.04410362714478234,10.0,10,180.58613949917074
7,14_23,0.04992533862937514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.04992533862937514,10.0,10,180.58613949917074
8,16_24,0.04729729762804436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.04729729762804436,10.0,10,180.58613949917074
9,1_24,0.05338626039460942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05338626039460942,10.0,10,180.58613949917074
10,23_12,0.0441927324281412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.359652026967,0.0441927324281412,10.0,10,180.58613949917074
11,23_13,0.05727559197654045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.05727559197654045,10.0,10,180.58613949917074
12,23_14,0.04992533862937514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.04992533862937514,10.0,10,180.58613949917074
13,23_24,0.05311900911263793,0.0,-3.1,-0.1159357027337914,-0.3442616293115676,0.0,0.0,0.0,133.640347973033,0.05311900911263793,10.0,10,180.58613949917074
14,23_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.0,10.0,10,180.58613949917074
15,24_16,0.04729729762804436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.04729729762804436,10.0,10,180.58613949917074
16,24_23,0.05311900911263794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.05311900911263794,10.0,10,180.58613949917074
17,3_13,0.02357077934359261,24.83582782195647,-0.1553456107335161,-0.1070712338030778,0.0,0.01224891271574007,0.1583048047779338,0.0,26.06417217804489,0.02357077934359261,0.0667,10,180.58613949917074
18,3_16,0.05194490340681544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05194490340681544,10.0,10,180.58613949917074
19,3_23,0.07378931319147873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.07378931319147873,10.0,10,180.58613949917074
20,3_24,0.03071955407796034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03071955407796034,10.0,10,180.58613949917074
21,8_24,0.03738623823189239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.03738623823189239,10.0,10,180.58613949917074
22,9_13,0.02454739618016217,33.99867739892792,-0.1645982717259661,-0.1073642188540486,0.0,0.01676798675266652,0.2228394908123685,0.0,36.00132260107208,0.02454739618016217,0.05,10,180.58613949917074
0,12_16,0.0,32.02460780499028,0.0,0.0,0.0,0.08515742725268943,0.05727513401244355,0.6245183904400177,0.0,0.0,0.0333,20,180.56611747298408
1,12_24,0.0,106.3595346194487,0.0,0.0,0.0,0.1357560189972251,0.8763836964492846,0.0,0.0,0.0,0.05,20,180.56611747298408
2,13_16,0.03543101618268202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03543101618268202,10.0,20,180.56611747298408
3,13_23,0.05726785368645449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.05726785368645449,10.0,20,180.56611747298408
4,13_24,0.01420575683228484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01420575683228484,10.0,20,180.56611747298408
5,14_12,0.01245200101652169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02460780499028,0.01245200101652169,10.0,20,180.56611747298408
