index,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
12_16,0.0,2466.992365953849,0.0,0.0,0.0,0.2263855572253233,71.99723078718175,3.191438526982834,0.0,0.0,0.0333,10000,2315.862373590435
12_24,0.0,736.8493351195306,0.0,0.0,0.0,0.4467106040367625,77.26145726261613,2.886269168071791,0.0,0.0,0.05,10000,2315.862373590435
13_16,0.04200701356778014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.04200701356778014,10.0,10000,2315.862373590435
13_23,0.3781920789096948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.3781920789096948,10.0,10000,2315.862373590435
13_24,0.01845527971601632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.01845527971601632,10.0,10000,2315.862373590435
14_12,0.02543176905195637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.992365953849,0.02543176905195637,10.0,10000,2315.862373590435
14_16,0.200026652043269,0.0,-3.1,-0.1600079956129807,1.372211279594632,0.0,0.0,0.0,533.0076340461508,0.200026652043269,10.0,10000,2315.862373590435
14_23,0.3746499316947696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.3746499316947696,10.0,10000,2315.862373590435
16_24,0.1983786773409558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.1983786773409558,10.0,10000,2315.862373590435
1_24,0.05866638301600235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05866638301600235,10.0,10000,2315.862373590435
23_12,0.2135719110271249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.8493351195306,0.2135719110271249,10.0,10000,2315.862373590435
23_13,0.3781920789096948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.3781920789096948,10.0,10000,2315.862373590435
23_14,0.3746499316947696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.3746499316947696,10.0,10000,2315.862373590435
23_24,0.3730019569924564,0.0,-3.1,-0.2119005870977369,-1.334030366683441,0.0,0.0,0.0,2263.15066488047,0.3730019569924564,10.0,10000,2315.862373590435
23_9,0.2252386854779828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.2252386854779828,10.0,10000,2315.862373590435
24_16,0.1983786773409558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.1983786773409558,10.0,10000,2315.862373590435
24_23,0.3730019569924564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.3730019569924564,10.0,10000,2315.862373590435
3_13,0.02706319710555515,283.7525531126205,-1.034042096090259,-0.1081189591316666,0.0,0.1399454159877924,4.360242357518829,0.0,716.2474468873796,0.02706319710555515,0.0667,10000,2315.862373590435
3_16,0.05955141055111708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05955141055111708,10.0,10000,2315.862373590435
3_23,0.3957364758930317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.3957364758930317,10.0,10000,2315.862373590435
3_24,0.03599967669935328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03599967669935328,10.0,10000,2315.862373590435
8_24,0.04266636085328532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.04266636085328532,10.0,10000,2315.862373590435
9_13,0.02836249525619171,284.2254632487095,-1.03210616526289,-0.1085087485768575,0.0,0.1401786530282836,4.375262848391757,0.0,715.7745367512905,0.02836249525619171,0.05,10000,2315.862373590435
